Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Courthouse ICP 1 - 0,3406,862
AV-Courthouse ICP 2 - 0,829,217
ED-Senior Center ICP 1 - 0,117,27
ED-Senior Center ICP 2 - 0,796,147
ED-Senior Center ICP 3 - 0,1216,218
ICC-Absentee by Mail - 12,4,2
ICC-Absentee by Mail - 2,29,21
ICC-Absentee by Mail - 10,31,19
ICC-Absentee by Mail - 11,18,4
ICC-Absentee by Mail - 9,34,16
ICC-Absentee by Mail - 3,35,15
ICC-Absentee by Mail - 6,29,21
ICC-Absentee by Mail - 4,33,17
ICC-Absentee by Mail - 8,29,21
ICC-Absentee by Mail - 7,28,22
ICC-Absentee by Mail - 1,39,11
ICC-Absentee by Mail - 5,28,22
ICC-Provisional - 1,1,0
