Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee By Mail - 1,50
Absentee by Mail,ICC-Absentee By Mail - 2,50
Absentee by Mail,ICC-Absentee By Mail - 3,50
Absentee by Mail,ICC-Absentee By Mail - 4,50
Absentee by Mail,ICC-Absentee By Mail - 5,49
Absentee by Mail,ICC-Absentee By Mail - 6,50
Absentee by Mail,ICC-Absentee By Mail - 7,50
Absentee by Mail,ICC-Absentee By Mail - 8,9
Absentee by Mail,ICC-Absentee By Mail - 9,5
Advanced Voting,AV-Elections Office ICP 1 - 0,3004
Election Day,ED-Cordele ICP 2 - 0,618
Election Day,ED-Cordele ICP 1 - 0,616
Election Day,ED-Arabi ICP 1 - 0,238
Election Day,ED-Jamestown ICP 1 - 0,382
Election Day,ED-Coney ICP 1 - 0,296
Election Day,ED-Listonia ICP 1 - 0,251
Absentee by Mail,ICC-Absentee By Mail - 10,1
Provisional,ICC-Provisional - 1,2
