Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office - ICP 1 - 0,2989
Elections Day,ED-Darien ICP 1 - 0,333
Elections Day,ED-North Darien ICP 1 - 0,438
Absentee by Mail,ICC - Absentee by Mail - 1,72
Absentee by Mail,ICC - Absentee by Mail - 2,64
Absentee by Mail,ICC - Absentee by Mail - 3,50
Absentee by Mail,ICC - Absentee by Mail - 4,69
Elections Day,ED-Crescent ICP 1 - 0,402
Absentee by Mail,ICC - Absentee by Mail - 5,56
Elections Day,ED-Spaelo Island ICP 1 - 0,24
Elections Day,ED-South Newport ICP 1 - 0,650
Absentee by Mail,ICC - Absentee by Mail - 6,43
Absentee by Mail,ICC - Absentee by Mail - 7,11
